"","urlhold","V2","V3","V4","V5","colorcount"
"35","http://www.freshpair.com/Leo-High-Waist-Control-Boxer-Brief-033284.html","Leo","High Waist Control Boxer Brief","37.00","
Materials: 79% polyamide, 21% elastane","2"
"36","http://www.freshpair.com/Jack-Adams-Relaxed-Yoga-Short-402-111.html","Jack Adams","Relaxed Yoga Short","26.50","Material is good, liked the idea of a slimmer leg profile, but there is no elastic in the waistband, and they hang below the waist, no I can't even wear them around the house when the kids are around.","1"
"37","http://www.freshpair.com/Bike-Performance-Elite-Jock-Strap-with-Cup-Pouch-BACP11.html","Bike","Performance Elite Jock Strap with Cup Pouch","13.00","unknown","1"
"38","http://www.freshpair.com/Emporio-Armani-Stretch-Cotton-Trunk-110852.html","Emporio Armani","Stretch Cotton Trunk","26.00","
Materials: 95% cotton, 5% elastane","3"
"39","http://www.freshpair.com/Papi-2-Pack-Microflex-Brazilian-Trunks-626173.html","Papi","2-Pack Microflex Brazilian Trunks","28.00","
Materials: 88% polyester, 12% spandex (techno)","2"
"40","http://www.freshpair.com/2xist-Essential-Long-Sleeve-Henley-3102012503.html","2xist","Essential Long Sleeve Henley","30.00","
Material: 100% cotton","3"
"41","http://www.freshpair.com/C-IN2-2-Pack-Low-No-Show-Briefs-1213J.html","C-IN2","2-Pack Low No Show Briefs","28.00","
Materials: 100% cotton","2"
"42","http://www.freshpair.com/C-IN2-2-Pack-Slash-Profile-Brief-1225J.html","C-IN2","2-Pack Slash Profile Brief","28.00","
Materials: 100% cotton","2"
"43","http://www.freshpair.com/C-IN2-2-Pack-Boxer-Brief-with-Fly-1234J.html","C-IN2","2-Pack Boxer Brief with Fly","32.00","
Materials: 100% cotton","2"
"44","http://www.freshpair.com/C-IN2-3-Pack-Ribbed-Tanks-1327-11515.html","C-IN2","3-Pack Ribbed Tanks","36.00","
Materials: 100% cotton","1"
"45","http://www.freshpair.com/C-IN2-3-Pack-Cotton-Trunks-1323-11515.html","C-IN2","3-Pack Cotton Trunks","38.00","
Materials: 100% cotton","1"
"46","http://www.freshpair.com/Hugo-Boss-Cotton-Modal-Trunk-50271740.html","Hugo Boss","Cotton Modal Trunk","32.00","
Materials: 48% cotton, 47% modal, 5% elastane","1"
"47","http://www.freshpair.com/C-IN2-Super-Bright-Low-No-Show-Profile-Brief-1013-41515.html","C-IN2","Super Bright Low No Show Profile Brief","24.00","
Materials: 96% poly, 4% elastane","2"
"48","http://www.freshpair.com/C-IN2-Super-Bright-Army-Trunk-1023-41515.html","C-IN2","Super Bright Army Trunk","26.00","
Materials: 96% poly, 4% elastane","2"
"49","http://www.freshpair.com/Hanes-3-Pack-Crew-Neck-T-Shirts-7870W6.html","Hanes","3-Pack Crew Neck T-Shirts","36.00","
Materials: 100% cotton","1"
